INFO  - 2014-11-29 19:38:10.104; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8501 (1486166362794491904)]} 0 0
INFO  - 2014-11-29 19:38:10.107; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8502 (1486166362797637632)]} 0 0
INFO  - 2014-11-29 19:38:10.114; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8503 (1486166362804977664)]} 0 0
INFO  - 2014-11-29 19:38:10.117; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8504 (1486166362808123392)]} 0 0
INFO  - 2014-11-29 19:38:10.120; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8505 (1486166362811269120)]} 0 0
INFO  - 2014-11-29 19:38:10.124; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8506 (1486166362815463424)]} 0 1
INFO  - 2014-11-29 19:38:10.126; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8507 (1486166362817560576)]} 0 0
INFO  - 2014-11-29 19:38:10.130; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8508 (1486166362821754880)]} 0 0
INFO  - 2014-11-29 19:38:10.133; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8509 (1486166362824900608)]} 0 0
INFO  - 2014-11-29 19:38:10.136; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[851 (1486166362828046336)]} 0 1
INFO  - 2014-11-29 19:38:10.138; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8510 (1486166362830143488)]} 0 0
INFO  - 2014-11-29 19:38:10.141; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8511 (1486166362833289216)]} 0 0
INFO  - 2014-11-29 19:38:10.144; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8512 (1486166362836434944)]} 0 0
INFO  - 2014-11-29 19:38:10.149; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8513 (1486166362840629248)]} 0 1
INFO  - 2014-11-29 19:38:10.151; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8514 (1486166362843774976)]} 0 0
INFO  - 2014-11-29 19:38:10.154; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8515 (1486166362846920704)]} 0 0
INFO  - 2014-11-29 19:38:10.157; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8516 (1486166362850066432)]} 0 0
INFO  - 2014-11-29 19:38:10.160; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8517 (1486166362853212160)]} 0 0
INFO  - 2014-11-29 19:38:10.165; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8518 (1486166362858455040)]} 0 0
